,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
14016,12281462,JE126824,01/29/2021 01:00:00 PM,016XX N LA SALLE DR,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1814,18,2.0,7,11,1174829.0,1911351.0,2021,02/05/2021 03:47:46 PM,41.912138405,-87.63315681899998,"(41.912138405, -87.633156819)"
25975,12302310,JE153453,02/26/2021 07:50:00 PM,119XX S MICHIGAN AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,TAVERN / LIQUOR STORE,True,False,532,5,9.0,53,04A,1178981.0,1825999.0,2021,03/05/2021 03:49:32 PM,41.677830551999996,-87.62050376200001,"(41.677830552, -87.620503762)"
37933,12320543,JE175556,03/21/2021 07:00:00 PM,024XX E 78TH ST,0560,ASSAULT,SIMPLE,STREET,False,False,421,4,7.0,43,08A,1194019.0,1853728.0,2021,03/28/2021 04:57:44 PM,41.753567049000004,-87.564554197,"(41.753567049, -87.564554197)"
7390,12274992,JE119112,01/10/2021 12:00:00 PM,017XX W 99TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,2213,22,19.0,72,11,1166381.0,1839044.0,2021,01/23/2021 03:52:14 PM,41.713905022,-87.666254223,"(41.713905022, -87.666254223)"
49192,12339925,JE199050,04/13/2021 05:00:00 PM,091XX S ESSEX AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,423,4,7.0,48,11,1194423.0,1844908.0,2021,04/20/2021 04:49:35 PM,41.729354313,-87.56336290899998,"(41.729354313, -87.563362909)"
33809,12314687,JE168057,03/13/2021 04:28:00 PM,122XX S BISHOP ST,041A,BATTERY,AGGRAVATED - HANDGUN,RESIDENCE - YARD (FRONT / BACK),False,False,524,5,34.0,53,04B,1168886.0,1823490.0,2021,03/20/2021 04:52:03 PM,41.671168666,-87.65752686200001,"(41.671168666, -87.657526862)"
11034,12277210,JE121738,01/23/2021 10:00:00 PM,077XX S EMERALD AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,621,6,6.0,71,06,1172643.0,1853507.0,2021,01/30/2021 03:51:02 PM,41.753458046999995,-87.642895472,"(41.753458047, -87.642895472)"
16626,12285600,JE131962,02/04/2021 06:38:00 AM,063XX N LAKEWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2433,24,48.0,77,08B,1166468.0,1942205.0,2021,02/11/2021 03:47:49 PM,41.996986268,-87.662985961,"(41.996986268, -87.662985961)"
34194,12314983,JE168670,03/14/2021 09:30:00 AM,015XX S HOMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1021,10,24.0,29,14,1153949.0,1892303.0,2021,03/21/2021 04:49:58 PM,41.860310901999995,-87.710372115,"(41.860310902, -87.710372115)"
58049,12353611,JE215593,04/30/2021 11:50:00 PM,064XX S KENWOOD AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,314,3,20.0,42,04B,1186179.0,1862494.0,2021,05/07/2021 04:49:27 PM,41.777810400999996,-87.593008043,"(41.777810401, -87.593008043)"
17005,12286575,JE133214,02/05/2021 12:26:00 PM,034XX W ROOSEVELT RD,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,1021,10,24.0,29,06,1153720.0,1894499.0,2021,02/12/2021 03:49:04 PM,41.866341526999996,-87.71115430100002,"(41.866341527, -87.711154301)"
14862,12282676,JE128448,01/31/2021 02:00:00 PM,063XX N BROADWAY,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2433,24,48.0,77,06,1167147.0,1942335.0,2021,02/07/2021 03:46:17 PM,41.997328376999995,-87.66048445,"(41.997328377, -87.66048445)"
1595,12260633,JE102341,01/03/2021 05:29:00 PM,057XX N MC VICKER AVE,0460,BATTERY,SIMPLE,STREET,False,False,1622,16,45.0,10,08B,1134905.0,1937694.0,2021,01/16/2021 03:49:23 PM,41.985227022,-87.77920215799999,"(41.985227022, -87.779202158)"
7013,12270384,JE113748,01/15/2021 04:20:00 PM,026XX W NORTH AVE,0560,ASSAULT,SIMPLE,RESTAURANT,True,False,1423,14,1.0,24,08A,1158321.0,1910534.0,2021,01/22/2021 03:48:10 PM,41.910250275,-87.69382484,"(41.910250275, -87.69382484)"
9498,12279401,JE124461,01/10/2021 12:00:00 AM,026XX N RACINE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1932,19,43.0,7,11,1167845.0,1917869.0,2021,01/29/2021 03:44:00 PM,41.930177741,-87.65862549299999,"(41.930177741, -87.658625493)"
1356,12260052,JE101849,01/03/2021 03:00:00 AM,033XX W WARREN BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,True,1123,11,28.0,27,14,1154001.0,1900144.0,2021,01/16/2021 03:49:23 PM,41.881826413,-87.709972216,"(41.881826413, -87.709972216)"
22848,12301320,JE152308,02/16/2021 11:00:00 AM,004XX S HALSTED ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,False,False,1232,12,25.0,28,06,1171119.0,1898086.0,2021,02/27/2021 03:44:15 PM,41.875820724,-87.647175913,"(41.875820724, -87.647175913)"
19904,12291827,JE139450,02/11/2021 03:40:00 PM,059XX N SHERIDAN RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,2022,20,48.0,77,11,1168560.0,1939523.0,2021,02/19/2021 03:45:56 PM,41.989581611,-87.655368494,"(41.989581611, -87.655368494)"
46711,12339393,JE198420,04/01/2021 11:00:00 AM,033XX W WARREN BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1123,11,28.0,27,11,1154134.0,1900148.0,2021,04/15/2021 05:31:06 PM,41.881834737,-87.709483733,"(41.881834737, -87.709483733)"
28863,12310476,JE162974,01/19/2021 10:00:00 AM,079XX S COLFAX AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,422,4,7.0,46,11,1194904.0,1852418.0,2021,03/10/2021 03:46:08 PM,41.749950561,-87.561354131,"(41.749950561, -87.561354131)"
11391,12277381,JE121888,01/24/2021 11:00:00 AM,059XX S ELIZABETH ST,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,713,7,16.0,67,08A,1169005.0,1865406.0,2021,01/31/2021 03:48:03 PM,41.786189751,-87.65588393799999,"(41.786189751, -87.655883938)"
31884,12310770,JE163459,03/09/2021 05:38:00 AM,047XX S HONORE ST,0460,BATTERY,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,931,9,15.0,61,08B,1164817.0,1873226.0,2021,03/16/2021 04:52:52 PM,41.807738309,-87.671018353,"(41.807738309, -87.671018353)"
15139,12283132,JE128971,02/01/2021 09:30:00 AM,0000X E 113TH PL,0810,THEFT,OVER $500,STREET,True,False,531,5,9.0,49,06,1178428.0,1829723.0,2021,02/08/2021 03:48:15 PM,41.688062298,-87.622415436,"(41.688062298, -87.622415436)"
5964,12268847,JE111893,01/13/2021 06:00:00 PM,095XX S COMMERCIAL AVE,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,431,4,10.0,51,08A,1197804.0,1842222.0,2021,01/20/2021 03:53:42 PM,41.721900044,-87.551067108,"(41.721900044, -87.551067108)"
34384,12314793,JE168465,03/14/2021 03:45:00 AM,025XX W SUMMERDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,2011,20,40.0,4,14,1158277.0,1935440.0,2021,03/21/2021 04:49:58 PM,41.978594824,-87.69330329700001,"(41.978594824, -87.693303297)"
28543,12306885,JE158953,03/03/2021 12:00:00 AM,041XX W FIFTH AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1132,11,24.0,26,06,1149001.0,1896584.0,2021,03/10/2021 03:48:52 PM,41.872155559,-87.728424389,"(41.872155559, -87.728424389)"
26806,12305955,JE157790,02/27/2021 10:48:00 AM,0000X S DEARBORN ST,0820,THEFT,$500 AND UNDER,BANK,False,False,112,1,42.0,32,06,1175945.0,1900240.0,2021,03/06/2021 03:50:24 PM,41.881624191,-87.62939190799999,"(41.881624191, -87.629391908)"
40469,12324929,JE180458,03/26/2021 02:21:00 PM,010XX S LYTLE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,False,True,1231,12,28.0,28,04A,1168201.0,1895562.0,2021,04/02/2021 05:04:22 PM,41.868958182,-87.65796260200001,"(41.868958182, -87.657962602)"
26502,12303339,JE153696,02/27/2021 03:45:00 AM,009XX N MOZART ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1211,12,26.0,24,08B,1157213.0,1906199.0,2021,03/06/2021 03:50:24 PM,41.898377263,-87.69801315299999,"(41.898377263, -87.698013153)"
23567,12298712,JE149016,02/22/2021 04:35:00 PM,016XX S HOMAN AVE,0560,ASSAULT,SIMPLE,STREET,False,False,1021,10,24.0,29,08A,1153973.0,1891484.0,2021,03/01/2021 03:46:28 PM,41.858062995,-87.710305832,"(41.858062995, -87.710305832)"
54167,12346354,JE206638,04/22/2021 08:40:00 AM,044XX S ROCKWELL ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,922,9,15.0,58,11,1159775.0,1875179.0,2021,04/29/2021 04:51:45 PM,41.813202720999996,-87.68945746600002,"(41.813202721, -87.689457466)"
18435,12289865,JE137543,02/10/2021 03:30:00 AM,008XX W 87TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,613,6,21.0,71,14,1172420.0,1847244.0,2021,02/19/2021 03:45:56 PM,41.736276459,-87.643896574,"(41.736276459, -87.643896574)"
23424,12297466,JE147583,02/21/2021 04:10:00 AM,069XX S THROOP ST,0460,BATTERY,SIMPLE,APARTMENT,False,False,734,7,6.0,67,08B,1168854.0,1858850.0,2021,02/28/2021 03:48:02 PM,41.768202542,-87.656626733,"(41.768202542, -87.656626733)"
40862,12327476,JE180981,03/27/2021 02:15:00 AM,113XX S WENTWORTH AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,False,522,5,34.0,49,04B,1176957.0,1829931.0,2021,04/03/2021 05:04:00 PM,41.688666268,-87.62779438,"(41.688666268, -87.62779438)"
12498,12279469,JE124517,01/26/2021 04:00:00 PM,004XX E 32ND ST,0810,THEFT,OVER $500,APARTMENT,False,False,211,2,4.0,35,06,1179519.0,1883862.0,2021,02/02/2021 03:48:32 PM,41.836600771,-87.61677038,"(41.836600771, -87.61677038)"
21911,12295321,JE144654,02/18/2021 10:00:00 AM,048XX N DRAKE AVE,0560,ASSAULT,SIMPLE,STREET,False,False,1712,17,33.0,14,08A,1151845.0,1931918.0,2021,02/25/2021 03:51:59 PM,41.969059677,-87.71705049799999,"(41.969059677, -87.717050498)"
5792,12268874,JE111985,01/13/2021 06:15:00 PM,012XX W LAKE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,1215,12,27.0,28,14,1168227.0,1901587.0,2021,01/20/2021 03:53:42 PM,41.885490679,-87.65769302700001,"(41.885490679, -87.657693027)"
52624,12344126,JE203962,04/19/2021 01:06:00 PM,002XX E CHESTNUT ST,0810,THEFT,OVER $500,STREET,True,False,1833,18,2.0,8,06,1178059.0,1906381.0,2021,04/26/2021 04:49:14 PM,41.898427551,-87.62144238299999,"(41.898427551, -87.621442383)"
39530,12323522,JE178862,03/24/2021 08:30:00 PM,016XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,131,1,3.0,33,08B,1177485.0,1892305.0,2021,03/31/2021 04:59:47 PM,41.859815276999996,-87.62397792700001,"(41.859815277, -87.623977927)"
46065,12335271,JE193506,04/07/2021 07:44:00 AM,041XX W 79TH ST,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),False,False,834,8,18.0,70,06,1150221.0,1851852.0,2021,04/14/2021 05:57:55 PM,41.749380836,-87.72510753799999,"(41.749380836, -87.725107538)"
61128,12359666,JE222279,05/05/2021 05:30:00 PM,013XX S TROY ST,0810,THEFT,OVER $500,STREET,False,False,1022,10,24.0,29,06,,,2021,05/12/2021 04:59:22 PM,,,
2417,12261704,JE103767,01/04/2021 08:00:00 PM,019XX N HONORE ST,0810,THEFT,OVER $500,STREET,False,False,1434,14,32.0,22,06,1163712.0,1912974.0,2021,01/16/2021 03:49:23 PM,41.916833796,-87.673951519,"(41.916833796, -87.673951519)"
29674,12307755,JE159855,03/05/2021 11:55:00 AM,0000X E 75TH ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,False,False,623,6,6.0,69,08A,1177752.0,1855282.0,2021,03/12/2021 03:54:10 PM,41.758214815,-87.62411933799999,"(41.758214815, -87.624119338)"
54350,12347473,JE208072,04/23/2021 05:50:00 PM,009XX W DIVERSEY PKWY,0820,THEFT,$500 AND UNDER,CTA TRAIN,False,False,1935,19,43.0,7,06,1169374.0,1918783.0,2021,04/30/2021 04:49:54 PM,41.932652647,-87.65298017799999,"(41.932652647, -87.652980178)"
28625,12306192,JE158199,03/03/2021 07:00:00 AM,043XX N PULASKI RD,0820,THEFT,$500 AND UNDER,GAS STATION,False,False,1723,17,39.0,16,06,1148942.0,1928706.0,2021,03/10/2021 03:48:52 PM,41.960302524,-87.72780833799999,"(41.960302524, -87.727808338)"
15667,12285140,JE131472,02/02/2021 06:30:00 PM,083XX S KILPATRICK AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,834,8,18.0,70,11,1146424.0,1848684.0,2021,02/09/2021 03:47:29 PM,41.740760078,-87.739101656,"(41.740760078, -87.739101656)"
32223,12312050,JE164428,03/10/2021 01:30:00 AM,116XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,524,5,34.0,53,08B,1172416.0,1827486.0,2021,03/17/2021 04:51:25 PM,41.682057654,-87.644490291,"(41.682057654, -87.644490291)"
24934,12301215,JE152239,02/24/2021 10:00:00 AM,007XX E 38TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER (SPECIFY),False,False,212,2,4.0,36,11,1181580.0,1879936.0,2021,03/03/2021 03:47:36 PM,41.825780124,-87.60932928700001,"(41.825780124, -87.609329287)"
43473,12329757,JE186408,04/01/2021 02:00:00 PM,091XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,True,False,633,6,8.0,44,08A,1183159.0,1844621.0,2021,04/08/2021 05:05:01 PM,41.728835841,-87.604634255,"(41.728835841, -87.604634255)"
10916,12276844,JE121391,01/23/2021 04:00:00 PM,001XX W DIVISION ST,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False,1821,18,2.0,8,06,1175207.0,1908349.0,2021,01/30/2021 03:51:02 PM,41.903892301999996,-87.63185835899998,"(41.903892302, -87.631858359)"
57890,12353349,JE215050,04/30/2021 02:45:00 PM,003XX W 75TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,False,731,7,6.0,69,04B,1175143.0,1855216.0,2021,05/07/2021 04:49:27 PM,41.758092329,-87.633682992,"(41.758092329, -87.633682992)"
60826,12360828,JE224500,05/05/2021 12:00:00 PM,066XX S SACRAMENTO AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,True,831,8,17.0,66,11,1157523.0,1860541.0,2021,05/12/2021 04:59:22 PM,41.773080029,-87.69811468799999,"(41.773080029, -87.698114688)"
383,12265617,JE108332,01/09/2021 09:25:00 PM,046XX S LA CROSSE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,814,8,22.0,56,08B,1144807.0,1873381.0,2021,01/16/2021 03:52:53 PM,41.808563364,-87.74440663600002,"(41.808563364, -87.744406636)"
12984,12280249,JE125454,01/27/2021 10:00:00 AM,050XX S PRAIRIE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,224,2,3.0,38,11,1178893.0,1871717.0,2021,02/03/2021 03:58:22 PM,41.803288213,-87.619437654,"(41.803288213, -87.619437654)"
11146,12280163,JE122880,01/23/2021 05:00:00 PM,071XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,323,3,6.0,69,08B,1178398.0,1857778.0,2021,01/30/2021 03:51:02 PM,41.765049477,-87.621676149,"(41.765049477, -87.621676149)"
15083,12287294,JE133515,01/26/2021 12:00:00 AM,004XX N ST LOUIS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1123,11,27.0,23,11,1152975.0,1902645.0,2021,02/09/2021 03:44:55 PM,41.888709801,-87.713673374,"(41.888709801, -87.713673374)"
56370,12352398,JE212944,04/27/2021 07:00:00 PM,079XX S THROOP ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,612,6,21.0,71,04A,1169033.0,1852313.0,2021,05/04/2021 04:49:08 PM,41.750260286,-87.656159231,"(41.750260286, -87.656159231)"
30935,12309865,JE161958,03/07/2021 01:23:00 PM,106XX S STATE ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,False,False,512,5,34.0,49,06,1178142.0,1834202.0,2021,03/14/2021 04:50:05 PM,41.700359791,-87.62332729,"(41.700359791, -87.62332729)"
59396,12355061,JE217167,05/02/2021 01:45:00 PM,098XX S STATE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,False,False,511,5,21.0,49,14,,,2021,05/09/2021 04:55:50 PM,,,
43337,12330363,JE186645,04/01/2021 08:00:00 PM,013XX S HOMAN AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,1021,10,24.0,29,04B,1153917.0,1893478.0,2021,04/08/2021 05:05:01 PM,41.86353587,-87.71045828700001,"(41.86353587, -87.710458287)"
19627,12291796,JE140154,01/24/2021 03:00:00 PM,001XX W MAPLE ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1824,18,2.0,8,06,1175182.0,1907599.0,2021,02/19/2021 03:45:56 PM,41.901834826,-87.631972713,"(41.901834826, -87.631972713)"
50657,12270700,JE113164,01/13/2021 10:00:00 PM,069XX S WABASH AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,True,True,322,3,6.0,69,04B,1177922.0,1859081.0,2021,05/02/2021 04:58:49 PM,41.768635844,-87.623381396,"(41.768635844, -87.623381396)"
39208,12323249,JE178726,03/24/2021 05:45:00 PM,071XX S NORMAL BLVD,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,732,7,6.0,68,08A,1174198.0,1857479.0,2021,03/31/2021 04:59:47 PM,41.76432331,-87.637079178,"(41.76432331, -87.637079178)"
57760,12352433,JE214034,04/29/2021 01:00:00 PM,117XX S MARSHFIELD AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,2234,22,34.0,75,06,1167515.0,1826950.0,2021,05/06/2021 04:50:35 PM,41.680692908000005,-87.66244607899998,"(41.680692908, -87.662446079)"
51563,12342347,JE201881,04/17/2021 07:00:00 AM,006XX W 71ST ST,0820,THEFT,$500 AND UNDER,STREET,False,False,732,7,6.0,68,06,1173240.0,1857814.0,2021,04/24/2021 05:01:22 PM,41.765263815,-87.640580589,"(41.765263815, -87.640580589)"
7654,12274870,JE119029,01/15/2021 04:30:00 PM,060XX W SHERWIN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1621,16,41.0,12,11,1135210.0,1948561.0,2021,01/23/2021 03:52:14 PM,42.015041509,-87.777821067,"(42.015041509, -87.777821067)"
60656,12357581,JE220338,05/05/2021 12:02:00 PM,069XX S LAFAYETTE AVE,0460,BATTERY,SIMPLE,RESTAURANT,False,False,731,7,6.0,69,08B,1177028.0,1859037.0,2021,05/12/2021 04:59:22 PM,41.768535307,-87.626659655,"(41.768535307, -87.626659655)"
39222,12323458,JE178924,03/24/2021 11:36:00 PM,040XX W SCHOOL ST,0460,BATTERY,SIMPLE,APARTMENT,False,True,1731,17,30.0,16,08B,1148695.0,1921619.0,2021,03/31/2021 04:59:47 PM,41.940860021999995,-87.72890019,"(41.940860022, -87.72890019)"
56178,12352195,JE213852,04/27/2021 03:45:00 PM,010XX W 70TH ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,True,733,7,6.0,68,04A,1170406.0,1858396.0,2021,05/04/2021 04:49:08 PM,41.76692306,-87.650951125,"(41.76692306, -87.650951125)"
26038,12307597,JE159705,02/01/2021 12:00:00 PM,021XX W BOWLER ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER (SPECIFY),False,False,1225,12,28.0,28,11,1162143.0,1896178.0,2021,03/09/2021 03:52:09 PM,41.870777179,-87.680185746,"(41.870777179, -87.680185746)"
4179,12262077,JE104246,01/05/2021 01:00:00 PM,008XX S PLYMOUTH CT,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,123,1,4.0,32,11,1176194.0,1896270.0,2021,01/16/2021 03:49:23 PM,41.870724666,-87.628597294,"(41.870724666, -87.628597294)"
26646,12303266,JE154490,02/27/2021 08:15:00 PM,028XX W PERSHING RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,911,9,12.0,58,14,1157974.0,1878648.0,2021,03/06/2021 03:50:24 PM,41.822758932,-87.695969269,"(41.822758932, -87.695969269)"
12905,12279474,JE124499,01/27/2021 10:50:00 AM,018XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1225,12,27.0,28,14,1164248.0,1898656.0,2021,02/03/2021 03:58:22 PM,41.877532811,-87.672387519,"(41.877532811, -87.672387519)"
1955,12261233,JE103347,01/04/2021 12:00:00 PM,013XX W 112TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2234,22,34.0,75,14,1169380.0,1830495.0,2021,01/16/2021 03:49:23 PM,41.690380924,-87.655517141,"(41.690380924, -87.655517141)"
7837,12271875,JE115542,01/17/2021 02:28:00 PM,005XX E 79TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,624,6,6.0,44,06,1181026.0,1852740.0,2021,01/24/2021 03:47:22 PM,41.751164599,-87.612198632,"(41.751164599, -87.612198632)"
6061,12271592,JE115192,01/08/2021 03:30:00 PM,126XX S YALE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,523,5,9.0,53,06,1176909.0,1821225.0,2021,01/20/2021 03:51:20 PM,41.664776733000004,-87.62823092200001,"(41.664776733, -87.628230922)"
3691,12261658,JE103656,01/05/2021 05:30:00 AM,007XX E 88TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,632,6,8.0,44,14,1182618.0,1846790.0,2021,01/16/2021 03:49:23 PM,41.734800379,-87.60654895200001,"(41.734800379, -87.606548952)"
15889,12285377,JE131702,02/03/2021 06:20:00 PM,119XX S PARNELL AVE,0560,ASSAULT,SIMPLE,STREET,False,False,524,5,34.0,53,08A,1174787.0,1825681.0,2021,02/10/2021 03:49:30 PM,41.677052099,-87.635864574,"(41.677052099, -87.635864574)"
56731,12351192,JE212553,04/27/2021 08:45:00 PM,010XX W MONTROSE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,1913,19,46.0,3,14,1168515.0,1929384.0,2021,05/04/2021 04:49:08 PM,41.961760892,-87.655828955,"(41.961760892, -87.655828955)"
39940,12323834,JE179184,03/25/2021 10:41:00 AM,002XX E 71ST ST,0560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,323,3,6.0,69,08A,1178960.0,1857991.0,2021,04/01/2021 05:04:48 PM,41.765621194,-87.619609791,"(41.765621194, -87.619609791)"
5349,12267943,JE110888,01/12/2021 04:35:00 PM,016XX W SHERWIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2423,24,49.0,1,08B,1164150.0,1948718.0,2021,01/19/2021 03:53:51 PM,42.014907561,-87.671327654,"(42.014907561, -87.671327654)"
46955,12335709,JE193754,04/08/2021 07:25:00 PM,021XX N SEDGWICK ST,0560,ASSAULT,SIMPLE,STREET,False,False,1814,18,43.0,7,08A,1173240.0,1914522.0,2021,04/15/2021 05:38:17 PM,41.920875223,-87.638899973,"(41.920875223, -87.638899973)"
26241,12312342,JE165353,03/10/2021 08:27:00 PM,022XX N LAWLER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,2522,25,36.0,19,08B,1142356.0,1914439.0,2021,03/17/2021 04:51:25 PM,41.921277671999995,-87.752377416,"(41.921277672, -87.752377416)"
24104,12300530,JE150611,02/23/2021 04:09:00 PM,019XX W 33RD ST,0810,THEFT,OVER $500,DEPARTMENT STORE,False,False,912,9,25.0,59,06,1163830.0,1882804.0,2021,03/02/2021 03:50:05 PM,41.834042232,-87.67436899100002,"(41.834042232, -87.674368991)"
24816,12301454,JE152211,02/24/2021 06:00:00 PM,092XX S ESSEX AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,423,4,7.0,48,11,1194442.0,1844283.0,2021,03/03/2021 03:47:36 PM,41.72763879,-87.56331378899998,"(41.72763879, -87.563313789)"
47595,12335883,JE194085,04/09/2021 07:55:00 AM,006XX N STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,False,False,1832,18,42.0,8,08B,1176262.0,1904268.0,2021,04/16/2021 05:26:56 PM,41.8926701,-87.62810635299999,"(41.8926701, -87.628106353)"
7935,12288633,JE135985,01/22/2021 12:00:00 PM,019XX W MORSE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,2424,24,49.0,1,11,1161965.0,1946066.0,2021,02/10/2021 03:46:37 PM,42.007676498,-87.679442164,"(42.007676498, -87.679442164)"
40443,12324720,JE180191,03/26/2021 11:05:00 AM,066XX S WOLCOTT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,726,7,15.0,67,08B,1164831.0,1860568.0,2021,04/02/2021 05:04:22 PM,41.773002876,-87.67132449399998,"(41.773002876, -87.671324494)"
57731,12355068,JE217154,04/29/2021 12:00:00 PM,018XX S ALLPORT ST,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,False,1233,12,25.0,31,06,1168330.0,1891147.0,2021,05/06/2021 04:50:35 PM,41.856840270999996,-87.657616587,"(41.856840271, -87.657616587)"
